curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade,lon,lat,curso_resumido,unidade_pad,code_muni,name_muni,code_state,abbrev_state
Ensino Médio com Habilitação Profissional de Técnico em Secretariado - MTec,Tarde,137,40,3.42,2025,1,etec-alberto-santos-dumont,-46.2736345,-23.9935686,Secretariado,etec-alberto-santos-dumont,3518701,Guarujá,35,SP
Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias,Manhã,186,40,4.65,2025,1,etec-alberto-santos-dumont,-46.2736345,-23.9935686,Ciências da Natureza e suas Tecnologias,etec-alberto-santos-dumont,3518701,Guarujá,35,SP
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,199,40,4.97,2025,1,etec-alberto-santos-dumont,-46.2736345,-23.9935686,Ciências Humanas e Sociais Aplicadas,etec-alberto-santos-dumont,3518701,Guarujá,35,SP
Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias,Manhã,130,40,3.25,2025,1,etec-alberto-santos-dumont,-46.2736345,-23.9935686,Matemática e suas Tecnologias,etec-alberto-santos-dumont,3518701,Guarujá,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,70,40,1.75,2025,1,etec-alcides-cestari,-48.51530409999999,-21.2778424,Administração,etec-alcides-cestari,3531308,Monte Alto,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Manhã,91,40,2.27,2025,1,etec-alcides-cestari,-48.51530409999999,-21.2778424,Marketing,etec-alcides-cestari,3531308,Monte Alto,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,81,40,2.02,2025,1,etec-alcides-cestari,-48.51530409999999,-21.2778424,Recursos Humanos,etec-alcides-cestari,3531308,Monte Alto,35,SP
Técnico em Qualidade,Noite,63,40,1.57,2025,1,etec-alcides-cestari,-48.51530409999999,-21.2778424,Qualidade,etec-alcides-cestari,3531308,Monte Alto,35,SP
Marketing,Noite,65,40,1.62,2025,1,etec-amim-jundi-etec-amim-jundi-emef-profa-zizi-pereira-de-souza-parapuaparapua,-50.8763566,-21.7919056,Marketing,etec-amim-jundi-etec-amim-jundi-emef-...,3534609,Osvaldo Cruz,35,SP
Açúcar e Álcool,Noite,66,40,1.65,2025,1,etec-amim-jundi,-50.8763566,-21.7919056,Açúcar e Álcool,etec-amim-jundi,3534609,Osvaldo Cruz,35,SP
Enfermagem,Noite,77,40,1.92,2025,1,etec-amim-jundi,-50.8763566,-21.7919056,Enfermagem,etec-amim-jundi,3534609,Osvaldo Cruz,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,206,40,5.15,2025,1,etec-amim-jundi,-50.8763566,-21.7919056,Administração,etec-amim-jundi,3534609,Osvaldo Cruz,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,166,40,4.15,2025,1,etec-amim-jundi,-50.8763566,-21.7919056,Desenvolvimento de Sistemas,etec-amim-jundi,3534609,Osvaldo Cruz,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,145,40,3.62,2025,1,etec-amim-jundi,-50.8763566,-21.7919056,Química,etec-amim-jundi,3534609,Osvaldo Cruz,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,165,40,4.12,2025,1,etec-amim-jundi,-50.8763566,-21.7919056,Recursos Humanos,etec-amim-jundi,3534609,Osvaldo Cruz,35,SP
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,155,40,3.87,2025,1,etec-amim-jundi,-50.8763566,-21.7919056,Ciências Humanas e Sociais Aplicadas,etec-amim-jundi,3534609,Osvaldo Cruz,35,SP
