lon,lat,unidade
-46.48694159999999,-23.6123557,etec-de-sapopemba
-47.250876,-22.8147002,etec-de-sumare
-46.2959592,-23.5518309,etec-de-suzano
-46.7631242,-23.6050537,etec-de-taboao-da-serra
-46.5543914,-23.5175446,etec-de-tiquatira-ceu-tiquatira
-46.5542062,-23.5182392,etec-de-tiquatira
-46.89956720000001,-21.8445578,etec-de-vargem-grande-do-sul
-46.5242748,-23.5744219,etec-de-vila-formosa-ceu-aricanduva
-46.5242748,-23.5744219,etec-de-vila-formosa
-47.65862870000001,-22.7349268,etec-deputado-ary-de-camargo-pedroso
-50.8992047,-22.2267124,etec-deputado-francisco-franco
-49.647383,-22.2287685,etec-deputado-paulo-ornellas-carvalho-de-barros
-47.3938849,-22.1743614,etec-deputado-salim-sedeh
-46.3821591,-23.9435389,etec-dona-escolastica-rosa-ee-prof-a-zulmira-campos
-46.3263839,-23.9426566,etec-dona-escolastica-rosa-fatec-rubens-lara
-46.3263738,-23.9425875,etec-dona-escolastica-rosa
-48.55077199999999,-22.740802,etec-dona-sebastiana-de-barros
-48.5004394,-21.4154676,etec-doutor-adail-nunes-da-silva-fatec-de-taquaritinga
-48.4934089,-21.3998569,etec-doutor-adail-nunes-da-silva
-46.73313525872139,-22.170938973072296,etec-doutor-carolino-da-motta-e-silva-emeb-cidinha-corso
-46.73318889999999,-22.1709688,etec-doutor-carolino-da-motta-e-silva
-48.3335764,-23.988535,etec-doutor-celso-charuri
-48.698493347033285,-23.923714544148456,etec-doutor-dario-pacheco-pedroso
-48.893023,-23.9967527,etec-doutor-demetrio-azevedo-junior
-48.44428242801919,-22.882953941317624,etec-doutor-domingos-minicucci-filho
-46.7204282,-23.3350424,etec-doutor-emilio-hernandez-aguilar
-47.079524,-21.7753173,etec-doutor-francisco-nogueira-de-lima
-45.5308303,-23.0134716,etec-doutor-geraldo-jose-rodrigues-alckmin-fatec-de-taubate
-45.5308303,-23.0134716,etec-doutor-geraldo-jose-rodrigues-alckmin
-47.62504767219784,-22.86072253760517,etec-doutor-jose-coury
-50.5278511,-20.2955188,etec-doutor-jose-luiz-viana-coutinho
-47.4006943,-20.5149138,etec-doutor-julio-cardoso-faculdade-de-tecnologia-doutor-thomaz-novelino
-47.3987636,-20.5359571,etec-doutor-julio-cardoso
-50.6976585,-22.2246494,etec-doutor-luiz-cesar-couto
-47.7086161,-23.1053948,etec-doutor-nelson-alves-vianna
-50.31026689999999,-21.2828686,etec-doutor-renato-cordeiro
-46.6480243,-23.5308614,etec-doutora-maria-augusta-saraiva
-46.3835947,-23.9651765,etec-doutora-ruth-cardoso-ee-prof-a-zulmira-de-almeida-lambert
-46.3835947,-23.9651765,etec-doutora-ruth-cardoso
-46.7582143,-23.5225358,etec-dr-celso-giglio
-48.95669299999999,-21.1308377,etec-elias-nechar
